Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassSArd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1033_CAMP_USER11	Abram	Abdullah	#93465	OLD SHORE ROAD 11	arizona	AZ	OTHER	85001	en_US	M	1997-01-11	1033	ET10	1033BT111	1033BT111	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA23	SA2133			SH91011	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB461	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER11	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA3000	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2823	9121	114											2014-11-04	2014-11-04	abcd	FJUT	1033KL244	abcd	Y	Y	E	2014-12-04	3552	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER12	Ada	Abdullai	#93466	OLD SHORE ROAD 12	arizona	AZ	OTHER	85001	en_US	F	1997-01-12	1033	ET10	1033BT112	1033BT111	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA24	SA2134			SH91012	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB462	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER12	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA3000HP	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2824	9122	119											2014-11-04	2014-11-04	abcd	FJUT	1033KL245	abcd	Y	Y	E	2014-12-04	3553	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER13	Adah	Abdulmateen	#93467	OLD SHORE ROAD 13	arizona	AZ	OTHER	85001	en_US	M	1997-01-13	1033	ET10	1033BT113	1033BT113	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA25	SA2135			SH91013	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB463	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER13	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA3000	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2829	9123	116											2014-11-04	2014-11-04	abcd	FJUT	1033KL246	abcd	Y	Y	E	2014-12-04	3554	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER14	Adalberto	Abdulmuniem	#93468	OLD SHORE ROAD 14	arizona	AZ	OTHER	85001	en_US	F	1997-01-14	1033	ET10	1033BT114	1033BT113	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA26	SA2136			SH91014	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB464	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER14	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA3000HP	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2826	9124	112											2014-11-04	2014-11-04	abcd	FJUT	1033KL247	abcd	Y	Y	E	2014-12-04	3555	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER15	Adaline	Abdur	#93469	OLD SHORE ROAD 15	arizona	AZ	OTHER	85001	en_US	M	1997-01-15	1033	ET10	1033BT115	1033BT115	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA27	SA2137			SH91015	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB465	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER15	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBSMN3000	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2822	9129	111											2014-11-04	2014-11-04	abcd	FJUT	1033KL248	abcd	Y	Y	E	2014-12-04	3556	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER16	Adam	Abe	#93470	OLD SHORE ROAD 16	arizona	AZ	OTHER	85001	en_US	F	1997-01-16	1033	ET10	1033BT116	1033BT115	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA28	SA2138			SH91016	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB466	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER16	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2829	9121	119											2014-11-04	2014-11-04	abcd	FJUT	1033KL249	abcd	Y	Y	E	2014-12-04	3557	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER17	Adam	Abeb	#93471	OLD SHORE ROAD 17	arizona	AZ	OTHER	85001	en_US	M	1997-01-17	1033	ET10	1033BT117	1033BT117	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA29	SA2139			SH91017	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB467	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER17	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1000	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2829	9122	120											2014-11-04	2014-11-04	abcd	FJUT	1033KL250	abcd	Y	Y	E	2014-12-04	3558	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER18	Adan	Abed	#93472	OLD SHORE ROAD 18	arizona	AZ	OTHER	85001	en_US	F	1997-01-18	1033	ET10	1033BT118	1033BT117	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA30	SA2140			SH91018	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB468	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER18	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA1000HP	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2830	9128	121											2014-11-04	2014-11-04	abcd	FJUT	1033KL251	abcd	Y	Y	E	2014-12-04	3559	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER19	Abedelah	Addie	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	M	1997-01-19	1033	ET10	1033BT119	1033BT119	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA31	SA2141			SH91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB469	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER19	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1000HP	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2831	9129	122											2014-11-04	2014-11-04	abcd	FJUT	1033KL252	abcd	Y	Y	E	2014-12-04	3560	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER20	Abedelah	Addie	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	F	1997-01-19	1033	ET10	1033BT120	1033BT119	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA31	SA2141			SH91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB469	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER20	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	BCBSMN1000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2831	9129	122											2014-11-04	2014-11-04	abcd	FJUT	1033KL253	abcd	Y	Y	E	2014-12-04	3561	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER21	Abedelah	Addie	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	M	1997-01-19	1033	ET10	1033BT121	1033BT121	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA31	SA2141			SH91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB469	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER21	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNAPPO1000	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2831	9129	122											2014-11-04	2014-11-04	abcd	FJUT	1033KL254	abcd	Y	Y	E	2014-12-04	3562	CHRA1RNCHILD1Y	FTE	You Only
TEST_1033_CAMP_USER22	Abedelah	Addie	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	F	1997-01-19	1033	ET10	1033BT122	1033BT121	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	SA31	SA2141			SH91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	QB469	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1033_CAMP_USER22	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA750	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER		1970-07-31	PPO	Y	LUCK	LAN	2831	9129	122											2014-11-04	2014-11-04	abcd	FJUT	1033KL255	abcd	Y	Y	E	2014-12-04	3563	CHRA1RNCHILD1Y	FTE	You Only
