Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassQPrd	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1027_GEN_USER11	Abram	Abdullah	#93465	OLD SHORE ROAD 11	arizona	AZ	OTHER	85001	en_US	M	1998-01-11	1027	ET10	1027YD111	1027YD111	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP23	QP2133			UH91011	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE461	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Aetna1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	Aetna1400	1970-07-31	PPO	Y	LUCK	LAN	7823	5121	114											2014-11-04	2014-11-04	abcd	FJUT	1027YB244	abcd	Y	Y	E	2014-12-04	1731	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER12	Ada	Abdullai	#93466	OLD SHORE ROAD 12	arizona	AZ	OTHER	85001	en_US	F	1998-01-12	1027	ET10	1027YD112	1027YD111	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP24	QP2134			UH91012	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE462	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA3000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA3000	1970-07-31	PPO	Y	LUCK	LAN	7824	5122	115											2014-11-04	2014-11-04	abcd	FJUT	1027YB245	abcd	Y	Y	E	2014-12-04	1732	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER13	Adah	Abdulmateen	#93467	OLD SHORE ROAD 13	arizona	AZ	OTHER	85001	en_US	M	1998-01-13	1027	ET10	1027YD113	1027YD113	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP25	QP2135			UH91013	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE463	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	LOCAL	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	LOCAL	1970-07-31	PPO	Y	LUCK	LAN	7825	5123	116											2014-11-04	2014-11-04	abcd	FJUT	1027YB246	abcd	Y	Y	E	2014-12-04	1733	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER14	Adalberto	Abdulmuniem	#93468	OLD SHORE ROAD 14	arizona	AZ	OTHER	85001	en_US	F	1998-01-14	1027	ET10	1027YD114	1027YD113	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP26	QP2136			UH91014	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE464	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERSCAL	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERSCAL	1970-07-31	PPO	Y	LUCK	LAN	7826	5124	117											2014-11-04	2014-11-04	abcd	FJUT	1027YB247	abcd	Y	Y	E	2014-12-04	1734	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER15	Adaline	Abdur	#93469	OLD SHORE ROAD 15	arizona	AZ	OTHER	85001	en_US	M	1998-01-15	1027	ET10	1027YD115	1027YD115	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP27	QP2137			UH91015	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE465	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERGEO	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERGEO	1970-07-31	PPO	Y	LUCK	LAN	7827	5125	111											2014-11-04	2014-11-04	abcd	FJUT	1027YB248	abcd	Y	Y	E	2014-12-04	1735	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER16	Adam	Abe	#93470	OLD SHORE ROAD 16	arizona	AZ	OTHER	85001	en_US	F	1998-01-16	1027	ET10	1027YD116	1027YD115	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP28	QP2138			UH91016	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE466	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	KAISERDEN	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	KAISERDEN	1970-07-31	PPO	Y	LUCK	LAN	7825	5121	119											2014-11-04	2014-11-04	abcd	FJUT	1027YB249	abcd	Y	Y	E	2014-12-04	1736	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER17	Adam	Abeb	#93471	OLD SHORE ROAD 17	arizona	AZ	OTHER	85001	en_US	M	1998-01-17	1027	ET10	1027YD117	1027YD117	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP29	QP2139			UH91017	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE467	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	GLOBALNA	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	GLOBALNA	1970-07-31	PPO	Y	LUCK	LAN	7829	5127	120											2014-11-04	2014-11-04	abcd	FJUT	1027YB250	abcd	Y	Y	E	2014-12-04	1737	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER18	Adan	Abed	#93472	OLD SHORE ROAD 18	arizona	AZ	OTHER	85001	en_US	F	1998-01-18	1027	ET10	1027YD118	1027YD117	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP30	QP2140			UH91018	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE468	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	GLOBALEU	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	GLOBALEU	1970-07-31	PPO	Y	LUCK	LAN	7830	5128	121											2014-11-04	2014-11-04	abcd	FJUT	1027YB251	abcd	Y	Y	E	2014-12-04	1738	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER19	Addie	Abedelah	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	M	1998-01-19	1027	ET10	1027YD119	1027YD119	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP31	QP2141			UH91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE469	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA750	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA750	1970-07-31	PPO	Y	LUCK	LAN	7831	5129	122											2014-11-04	2014-11-04	abcd	FJUT	1027YB252	abcd	Y	Y	E	2014-12-04	1739	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER20	Adela	Abedi	#93474	OLD SHORE ROAD 20	arizona	AZ	OTHER	85001	en_US	F	1998-01-20	1027	ET10	1027YD120	1027YD119	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP32	QP2142			UH91020	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE470	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA3000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA3000	1970-07-31	PPO	Y	LUCK	LAN	7832	5130	123											2014-11-04	2014-11-04	abcd	FJUT	1027YB253	abcd	Y	Y	E	2014-12-04	1747	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER21	Adelaida	Abee	#93475	OLD SHORE ROAD 21	arizona	AZ	OTHER	85001	en_US	M	1998-01-21	1027	ET10	1027YD121	1027YD121	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP33	QP2143			UH91021	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE471	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	CIGNA1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	CIGNA1400	1970-07-31	PPO	Y	LUCK	LAN	7833	5131	124											2014-11-04	2014-11-04	abcd	FJUT	1027YB254	abcd	Y	Y	E	2014-12-04	1741	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER22	Adelaide	Abegg	#93476	OLD SHORE ROAD 22	arizona	AZ	OTHER	85001	en_US	F	1998-01-22	1027	ET10	1027YD122	1027YD121	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP34	QP2144			UH91022	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE472	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Aetna750	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	Aetna750	1970-07-31	PPO	Y	LUCK	LAN	7834	5132	125											2014-11-04	2014-11-04	abcd	FJUT	1027YB255	abcd	Y	Y	E	2014-12-04	1742	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER23	Adele	Abeita	#93477	OLD SHORE ROAD 23	arizona	AZ	OTHER	85001	en_US	M	1998-01-23	1027	ET10	1027YD123	1027YD123	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP35	QP2145			UH91023	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE473	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	Aetna1400	CPMO	Ada County			01	OPTED_IN	EV115	other	incentiveId_OTHER	Aetna1400	1970-07-31	PPO	Y	LUCK	LAN	7835	5133	126											2014-11-04	2014-11-04	abcd	FJUT	1027YB256	abcd	Y	Y	E	2014-12-04	1743	CHRA1RNCHILD1Y	FTE	You Only
TEST_1027_GEN_USER24	Adelia	Abel	#93478	OLD SHORE ROAD 24	arizona	AZ	OTHER	85001	en_US	F	1998-01-24	1027	ET10	1027YD124	1027YD123	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	QP36	QP2146			UH91024	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	WE474	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	ABC	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	AETNA3000	CPMO	Ada County			02	OPTED_IN	EV115	other	incentiveId_OTHER	AETNA3000	1970-07-31	PPO	Y	LUCK	LAN	7836	5134	127											2014-11-04	2014-11-04	abcd	FJUT	1027YB257	abcd	Y	Y	E	2014-12-04	1744	CHRA1RNCHILD1Y	FTE	You Only
