Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID		SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1037_GEN_USER11	Corrina	Ahmau	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1965-12-11	1037	ET10	1037NE110	1037NE106	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91057	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER11	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2114	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4454	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG897	abcd	Y	Y	E	2014-12-04	0153	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER12	Corrine	Ahmed	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	M	1965-12-12	1037	ET10	1037NE111	1037NE107	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91058	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER12	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2116	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4455	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG898	abcd	Y	Y	E	2014-12-04	0154	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER13	Corrinne	Ahn	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	F	1965-12-13	1037	ET10	1037NE112	1037NE108	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91059	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER13	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2164	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4456	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG899	abcd	Y	Y	E	2014-12-04	0155	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER14	Cortez	Ahne	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	F	1965-12-14	1037	ET10	1037NE113	1037NE109	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91060	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER14	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2166	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4457	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG900	abcd	Y	Y	E	2014-12-04	0156	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER15	Cortney	Ahnell	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	F	1965-12-15	1037	ET10	1037NE114	1037NE114	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91061	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER15	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2510	CPMO	Ada County			01	OPTED_IN	EV115	role5	incentiveId_ROLE5	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4458	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG901	abcd	Y	Y	E	2014-12-04	0157	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER16	Cory	Ahner	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	M	1965-12-16	1037	ET10	1037NE115	1037NE114	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91062	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER16	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2510	CPMO	Ada County			02	OPTED_IN	EV115	role6	incentiveId_ROLE6	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4459	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG902	abcd	Y	Y	E	2014-12-04	0158	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER17	Cory	Aho	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1965-12-17	1037	ET10	1037NE116	1037NE116	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91063	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER17	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2514	CPMO	Ada County			01	OPTED_IN	EV115	role7	incentiveId_ROLE7	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4460	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG903	abcd	Y	Y	E	2014-12-04	0159	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER18	Courtney	Aholt	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	F	1965-12-18	1037	ET10	1037NE117	1037NE117	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91064	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER18	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2516	CPMO	Ada County			01	OPTED_IN	EV115	role7	incentiveId_ROLE7	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4461	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG904	abcd	Y	Y	E	2014-12-04	0160	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER19	Cory	Aho	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	F	1965-12-19	1037	ET10	1037NE118	1037NE116	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91063	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER19	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2514	CPMO	Ada County			02	OPTED_IN	EV115	role8	incentiveId_ROLE8	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4460	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG905	abcd	Y	Y	E	2014-12-04	0161	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER20	Courtney	Aholt	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	M	1965-12-20	1037	ET10	1037NE119	1037NE117	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91064	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER20	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2516	CPMO	Ada County			02	OPTED_IN	EV115	role8	incentiveId_ROLE8	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4461	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG906	abcd	Y	Y	E	2014-12-04	0162	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER21	Courtney	Ahonen	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1965-12-21	1037	ET10	1037NE120	1037NE120	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91065	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER21	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2210	CPMO	Ada County			01	OPTED_IN	EV115	role9	incentiveId_ROLE9	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4462	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG907	abcd	Y	Y	E	2014-12-04	0163	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER22	Coy	Ahr	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	F	1965-12-22	1037	ET10	1037NE121	1037NE120	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91066	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER22	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2210	CPMO	Ada County			02	OPTED_IN	EV115	role10	incentiveId_ROLE10	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4463	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG908	abcd	Y	Y	E	2014-12-04	0164	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER23	Craig	Ahrendes	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	F	1965-12-23	1037	ET10	1037NE122	1037NE122	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91067	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER23	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2214	CPMO	Ada County			01	OPTED_IN	EV115	role11	incentiveId_ROLE11	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4464	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG909	abcd	Y	Y	E	2014-12-04	0165	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER24	Creola	Ahrends	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	M	1965-12-24	1037	ET10	1037NE123	1037NE123	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91068	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER24	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2216	CPMO	Ada County			01	OPTED_IN	EV115	role11	incentiveId_ROLE11	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4465	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG910	abcd	Y	Y	E	2014-12-04	0166	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER25	Cris	Ahrendt	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1965-12-25	1037	ET10	1037NE124	1037NE122	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91069	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER25	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2214	CPMO	Ada County			02	OPTED_IN	EV115	role12	incentiveId_ROLE12	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4466	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG911	abcd	Y	Y	E	2014-12-04	0167	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER26	Criselda	Ahrenholtz	#93455	OLD SHORE ROAD 1	arizona	NJ	OTHER	85001	en_US	F	1965-12-26	1037	ET10	1037NE125	1037NE123	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91070	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER26	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2216	CPMO	Ada County			02	OPTED_IN	EV115	role12	incentiveId_ROLE12	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4467	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG912	abcd	Y	Y	E	2014-12-04	0168	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_GEN_USER27	Crissy	Ahrenholz	#93455	OLD SHORE ROAD 1	arizona	AZ	OTHER	85001	en_US	M	1965-12-27	1037	ET10	1037NE126	1037NE126	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	RR567				DG91071	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	SM194	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	TEST_1037_GEN_USER27	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2	CPMO	Ada County			01	OPTED_IN	EV115	role13	incentiveId_ROLE13	1	1970-07-31	PPO	Y	LUCK	LAN	4233	4468	101	Y										2014-11-04	2014-11-04	abcd	FJUT	1037NG913	abcd	Y	Y	E	2014-12-04	0169	CHRA1RNCHILD1Y	FTE	You Only
