Upin	FN	LN	A1	A2	C	S	PreferredAddressCategory	Z	Language	Gender	DOB	ClientCode	Ethnicity	Memberid	SubscriberID	RelationShipCode	SubscriberClientMemberID	MobileNumber	emailid_work	emailid_home	PortalUserName	PortalPassword	Fb	Twitter	Acctid	GroupNumber	SectionNumber	CoverageCode	coveragebegindate	coverageEnddate	OptinPreference	DeliveryChannel	ResponseStatus	JobStatus	JobCode	HireDate	LocationCode	FIPS	CensusTrack	CensusBlock	DeviceName	SubscriptionType	RelationShip	ResponseType	RelatedUpin	ExpectNotifMsgdate	SendingAddress	MessageType	e_ProgramLogo	ReminderURL	ReplyToEmail	SenderName	PackageCode	RxPlanCode	Insuranceplancode	DescriptorCode	County	longitude	latitude	RelationShipCode	opt_out_status	CorpCD	role	IncentiveId	prescription_drug_plan	benefit_begin_date	medical_plan_type	minor_dependent_flag	district	division	store_code	region_code	department_code	healthy_living_credit_election	orange_life_questionaire_status	tobacco_free_status	screening_status	completed_one_checklist_item	completed_two_checklist_item	completed_three_checklist_item	completed_four_checklist_item	completed_five_checklist_item	completed_six_checklist_item	mail_begin_date	email_begin_date	work_state	occ	healthy_living_credit_id	business_unit	texting_consent	benefit_summary_consent	overall_electronic_consent	mobile_begin_date	four_digit_ID	Legacy_RoleID	MemberStatus	CoverageLevel
TEST_1037_BIM_USER111	Lavelle	Bergmark	#93465	OLD SHORE ROAD 11	arizona	AZ	OTHER	85001	en_US	M	1991-10-11	1037	ET10	1037FE111	1037FE111	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT510				LG91010	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW221	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2164	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	2164	1970-07-31	PPO	Y	LUCK	LAN	3111	3119	343											2014-11-04	2014-11-04	abcd	FJUT	1037YH111	abcd	Y	Y	E	2014-12-04	1711	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER112	Lavenia	Bergmeier	#93466	OLD SHORE ROAD 12	arizona	AZ	OTHER	85001	en_US	F	1991-10-12	1037	ET10	1037FE112	1037FE112	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT511				LG91011	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW222	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2166	CPMO	Ada County			01	OPTED_IN	EV115	role3	incentiveId_ROLE3	2166	1970-07-31	PPO	Y	LUCK	LAN	3112	3120	344											2014-11-04	2014-11-04	abcd	FJUT	1037YH112	abcd	Y	Y	E	2014-12-04	1712	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER113	Lavera	Bergmeyer	#93467	OLD SHORE ROAD 13	arizona	AZ	OTHER	85001	en_US	M	1991-10-13	1037	ET10	1037FE113	1037FE109	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT512				LG91012	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW223	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2114	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	2114	1970-07-31	PPO	Y	LUCK	LAN	3113	3121	345											2014-11-04	2014-11-04	abcd	FJUT	1037YH113	abcd	Y	Y	E	2014-12-04	1713	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER114	Lavern	Bergner	#93468	OLD SHORE ROAD 14	arizona	AZ	OTHER	85001	en_US	F	1991-10-14	1037	ET10	1037FE114	1037FE110	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT513				LG91013	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW224	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2116	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	2116	1970-07-31	PPO	Y	LUCK	LAN	3114	3122	346											2014-11-04	2014-11-04	abcd	FJUT	1037YH114	abcd	Y	Y	E	2014-12-04	1714	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER115	Lavern	Bergo	#93469	OLD SHORE ROAD 15	arizona	AZ	OTHER	85001	en_US	M	1991-10-15	1037	ET10	1037FE115	1037FE111	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT514				LG91014	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW225	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2164	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	2164	1970-07-31	PPO	Y	LUCK	LAN	3115	3123	347											2014-11-04	2014-11-04	abcd	FJUT	1037YH115	abcd	Y	Y	E	2014-12-04	1715	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER116	Laverna	Bergold	#93470	OLD SHORE ROAD 16	arizona	AZ	OTHER	85001	en_US	F	1991-10-16	1037	ET10	1037FE116	1037FE112	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT515				LG91015	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW226	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2166	CPMO	Ada County			02	OPTED_IN	EV115	role4	incentiveId_ROLE4	2166	1970-07-31	PPO	Y	LUCK	LAN	3116	3124	348											2014-11-04	2014-11-04	abcd	FJUT	1037YH116	abcd	Y	Y	E	2014-12-04	1716	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER117	Laverne	Bergouignan	#93471	OLD SHORE ROAD 17	arizona	AZ	OTHER	85001	en_US	M	1991-10-17	1037	ET10	1037FE117	1037FE117	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT516				LG91016	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW227	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2510	CPMO	Ada County			01	OPTED_IN	EV115	role5	incentiveId_ROLE5	2510	1970-07-31	PPO	Y	LUCK	LAN	3117	3125	349											2014-11-04	2014-11-04	abcd	FJUT	1037YH117	abcd	Y	Y	E	2014-12-04	1717	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER118	Laverne	Bergquist	#93472	OLD SHORE ROAD 18	arizona	AZ	OTHER	85001	en_US	F	1991-10-18	1037	ET10	1037FE118	1037FE117	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT517				LG91017	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW228	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2510	CPMO	Ada County			02	OPTED_IN	EV115	role6	incentiveId_ROLE6	2510	1970-07-31	PPO	Y	LUCK	LAN	3118	3126	350											2014-11-04	2014-11-04	abcd	FJUT	1037YH118	abcd	Y	Y	E	2014-12-04	1718	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER119	Laveta	Bergreen	#93473	OLD SHORE ROAD 19	arizona	AZ	OTHER	85001	en_US	M	1991-10-19	1037	ET10	1037FE119	1037FE119	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT518				LG91018	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW229	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2514	CPMO	Ada County			01	OPTED_IN	EV115	role7	incentiveId_ROLE7	2514	1970-07-31	PPO	Y	LUCK	LAN	3119	3127	351											2014-11-04	2014-11-04	abcd	FJUT	1037YH119	abcd	Y	Y	E	2014-12-04	1719	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER120	Lavette	Bergren	#93474	OLD SHORE ROAD 20	arizona	AZ	OTHER	85001	en_US	F	1991-10-20	1037	ET10	1037FE120	1037FE120	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT519				LG91019	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW230	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2516	CPMO	Ada County			01	OPTED_IN	EV115	role7	incentiveId_ROLE7	2516	1970-07-31	PPO	Y	LUCK	LAN	3120	3128	352											2014-11-04	2014-11-04	abcd	FJUT	1037YH120	abcd	Y	Y	E	2014-12-04	1720	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER121	Lavina	Bergseng	#93475	OLD SHORE ROAD 21	arizona	AZ	OTHER	85001	en_US	M	1991-10-21	1037	ET10	1037FE121	1037FE119	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT520				LG91020	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW231	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2514	CPMO	Ada County			02	OPTED_IN	EV115	role8	incentiveId_ROLE8	2514	1970-07-31	PPO	Y	LUCK	LAN	3121	3129	353											2014-11-04	2014-11-04	abcd	FJUT	1037YH121	abcd	Y	Y	E	2014-12-04	1721	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER122	Lavinia	Bergsjo	#93476	OLD SHORE ROAD 22	arizona	AZ	OTHER	85001	en_US	F	1991-10-22	1037	ET10	1037FE122	1037FE120	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT521				LG91021	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW232	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2516	CPMO	Ada County			02	OPTED_IN	EV115	role8	incentiveId_ROLE8	2516	1970-07-31	PPO	Y	LUCK	LAN	3122	3130	354											2014-11-04	2014-11-04	abcd	FJUT	1037YH122	abcd	Y	Y	E	2014-12-04	1722	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER123	Lavon	Bergsma	#93477	OLD SHORE ROAD 23	arizona	AZ	OTHER	85001	en_US	M	1991-10-23	1037	ET10	1037FE123	1037FE123	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT522				LG91022	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW233	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2210	CPMO	Ada County			01	OPTED_IN	EV115	role9	incentiveId_ROLE9	2210	1970-07-31	PPO	Y	LUCK	LAN	3123	3131	355											2014-11-04	2014-11-04	abcd	FJUT	1037YH123	abcd	Y	Y	E	2014-12-04	1723	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER124	Lavona	Bergsman	#93478	OLD SHORE ROAD 24	arizona	AZ	OTHER	85001	en_US	F	1991-10-24	1037	ET10	1037FE124	1037FE123	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT523				LG91023	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW234	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2210	CPMO	Ada County			02	OPTED_IN	EV115	role10	incentiveId_ROLE10	2210	1970-07-31	PPO	Y	LUCK	LAN	3124	3132	356											2014-11-04	2014-11-04	abcd	FJUT	1037YH124	abcd	Y	Y	E	2014-12-04	1724	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER125	Lavonda	Bergstedt	#93479	OLD SHORE ROAD 25	arizona	AZ	OTHER	85001	en_US	M	1991-10-25	1037	ET10	1037FE125	1037FE125	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT524				LG91024	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW235	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2214	CPMO	Ada County			01	OPTED_IN	EV115	role11	incentiveId_ROLE11	2214	1970-07-31	PPO	Y	LUCK	LAN	3125	3133	357											2014-11-04	2014-11-04	abcd	FJUT	1037YH125	abcd	Y	Y	E	2014-12-04	1725	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER126	Lavone	Bergsten	#93480	OLD SHORE ROAD 26	arizona	AZ	OTHER	85001	en_US	F	1991-10-26	1037	ET10	1037FE126	1037FE126	01	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT525				LG91025	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW236	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2216	CPMO	Ada County			01	OPTED_IN	EV115	role11	incentiveId_ROLE11	2216	1970-07-31	PPO	Y	LUCK	LAN	3126	3134	358											2014-11-04	2014-11-04	abcd	FJUT	1037YH126	abcd	Y	Y	E	2014-12-04	1726	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER127	Lavonia	Bergstresser	#93481	OLD SHORE ROAD 27	arizona	AZ	OTHER	85001	en_US	M	1991-10-27	1037	ET10	1037FE127	1037FE125	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT526				LG91026	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW237	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2214	CPMO	Ada County			02	OPTED_IN	EV115	role12	incentiveId_ROLE12	2214	1970-07-31	PPO	Y	LUCK	LAN	3127	3135	359											2014-11-04	2014-11-04	abcd	FJUT	1037YH127	abcd	Y	Y	E	2014-12-04	1727	CHRA1RNCHILD1Y	FTE	You Only
TEST_1037_BIM_USER128	Lavonna	Bergstrom	#93482	OLD SHORE ROAD 28	arizona	AZ	OTHER	85001	en_US	F	1991-10-28	1037	ET10	1037FE128	1037FE126	02	subClientId	9781236789	abc@gmail.com	abc@gmail.com	xyz@gmail.com	TT527				LG91027	abcd		1999-12-29	2018-12-23	Y	Postal	Y	ACTIVE	EW238	1999-12-23	abcd	abcd	abcd	abcd	abcd	abcd	Subscriber	abcd	abcd	2014-12-19	yourhealth@evivehealth.com	99	/images/logos/103_program.png	myevive.com/reminder?rid=	questions@evivehealth.com	Evive Health	abcd	abcd	2216	CPMO	Ada County			02	OPTED_IN	EV115	role12	incentiveId_ROLE12	2216	1970-07-31	PPO	Y	LUCK	LAN	3128	3136	360											2014-11-04	2014-11-04	abcd	FJUT	1037YH128	abcd	Y	Y	E	2014-12-04	1728	CHRA1RNCHILD1Y	FTE	You Only
